exp_abund2,obs_lin1,obs_lin2,obs_abun1,obs_abun2,isolate1,isolate2,exp_abund1
0.52,DENV1-1VI,NA,1,NA,DENV1-1IV,DENV1-1VI,0.48
0.52,DENV1-1V,NA,1,NA,DENV1-1IV,DENV1-1V,0.48
0.81,DENV1-1V,DENV1-1III,0.806394,0.193606,DENV1-1III,DENV1-1V,0.19
0.4,DENV1-1III,NA,1,NA,DENV1-1III,DENV1-1IV,0.6
0.91,DENV1-1I,NA,1,NA,DENV1-1I,DENV1-1IV,0.09
0.88,DENV1-1I,NA,1,NA,DENV1-1I,DENV1-1V,0.12
0.83,DENV1-1I,NA,1,NA,DENV1-1I,DENV1-1III,0.17
0.23,DENV1-1I,NA,1,NA,DENV1-1I,DENV1-1VI,0.77
0.17,DENV1-1I,NA,1,NA,DENV1-1I,DENV1-1II,0.83
0.98,DENV1-1V,DENV1-1II,0.99035,0.00965,DENV1-1II,DENV1-1V,0.02
0.7,DENV1-1VI,DENV1-1II,0.755508,0.181198,DENV1-1II,DENV1-1VI,0.3
0.32,DENV1-1III,DENV1-1II,0.566893,0.433107,DENV1-1II,DENV1-1III,0.68
0.1,DENV1-1II,NA,1,NA,DENV1-1II,DENV1-1IV,0.9
0.79,DENV1-1VI,NA,1,NA,DENV1-1V,DENV1-1VI,0.21
0.04,DENV1-1III,NA,1,NA,DENV1-1III,DENV1-1VI,0.96
